species,JENKINS_SPGRPCD,type,WDSG
6945,8,H,0.65
6946,8,H,0.65
6961,8,H,0.52
6965,8,H,0.48216
6966,10,H,0.52
868,8,H,0.52
523,10,H,0.52
997,8,H,0.52
6973,8,H,0.48
6975,8,H,0.48
6976,8,H,0.48
6979,8,H,0.48
6980,8,H,0.48
6992,8,H,0.5
6996,8,H,0.52
6994,8,H,0.64575
6998,8,H,0.52
7000,8,H,0.52
7004,8,H,0.52
7005,8,H,0.52
7006,8,H,0.52
7007,8,H,0.52
7008,8,H,0.52
7011,8,H,0.52
7012,8,H,0.258
7014,8,H,0.23
7015,8,H,0.52
7019,8,H,0.52
7021,8,H,0.52
7022,8,H,0.52
7024,8,H,0.52
7025,8,H,0.639
7026,8,H,0.80539
512,8,H,0.52
7028,8,H,0.657
7030,8,H,0.52
7035,8,H,0.52
7031,8,H,0.9063
7032,8,H,0.92578
7033,8,H,0.609
7034,8,H,0.52
511,8,H,0.52
7038,8,H,0.86788
7039,8,H,0.73835
513,8,H,0.52
7041,8,H,0.82656
7036,8,H,0.52
7043,8,H,0.52
7044,8,H,0.70602
7045,8,H,0.82843
7046,8,H,0.52
7047,8,H,0.73051
7040,8,H,0.52
7048,8,H,0.93849
7049,8,H,0.52
514,8,H,0.52
7051,8,H,0.52
7052,8,H,0.82656
7053,8,H,0.52
7054,8,H,0.52
7056,8,H,0.82732
7057,8,H,0.59927
7059,8,H,0.73
7060,8,H,0.52
7061,8,H,0.52
7062,8,H,0.52
7063,8,H,0.52
7065,8,H,0.73
7066,8,H,0.52
7067,8,H,0.52
7069,8,H,0.52
7071,8,H,0.52
7072,8,H,0.52
7075,8,H,0.52
7076,8,H,0.52
7078,8,H,0.73
7079,8,H,0.73
7081,8,H,0.52
7082,8,H,0.73
7084,8,H,0.52
7087,8,H,0.73
7088,8,H,0.73
7089,8,H,0.52
7090,8,H,0.52
7091,8,H,0.73
310,7,H,0.47
6063,8,H,0.53813
6130,8,H,0.5
6145,8,H,0.62423
915,8,H,0.52
6199,8,H,0.56
370,7,H,0.51
420,8,H,0.4
855,8,H,0.52
50,1,S,0.41
6881,8,H,0.5
6887,8,H,0.20664
6942,8,H,0.71463
7120,8,H,0.5
7171,8,H,0.4
7350,8,H,0.19
7390,8,H,0.48302
7494,8,H,0.26
7659,8,H,0.5166
7900,8,H,0.54
7961,8,H,0.66286
8007,8,H,0.75
90,5,S,0.36
8180,8,H,0.9
8238,8,H,0.57
8294,8,H,0.48
8306,8,H,0.737
8678,8,H,0.52
8775,8,H,0.41
8905,8,H,0.55655
8915,8,H,0.593
