SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,fia.binomial,SPECIES_SYMBOL,division,family.resolved,genus.resolved,fia.binomial.resolved,fia.wood.c.source,fia.wood.c
10,fir spp.,Abies,spp.,NA,NA,Abies_spp.,ABIES,angiosperm,Pinaceae,Abies,Abies_spp.,3,48.04
11,Pacific silver fir,Abies,amabilis,NA,NA,Abies_amabilis,ABAM,gymnosperm,Pinaceae,Abies,Abies_amabilis,1,49.31666667
12,balsam fir,Abies,balsamea,NA,NA,Abies_balsamea,ABBA,gymnosperm,Pinaceae,Abies,Abies_balsamea,1,50.55153846
14,Santa Lucia or bristlecone fir,Abies,bracteata,NA,NA,Abies_bracteata,ABBR,gymnosperm,Pinaceae,Abies,Abies_bracteata,3,48.04
15,white fir,Abies,concolor,NA,NA,Abies_concolor,ABCO,gymnosperm,Pinaceae,Abies,Abies_concolor,1,50.97
16,Fraser fir,Abies,fraseri,NA,NA,Abies_fraseri,ABFR,gymnosperm,Pinaceae,Abies,Abies_fraseri,3,48.04
17,grand fir,Abies,grandis,NA,NA,Abies_grandis,ABGR,gymnosperm,Pinaceae,Abies,Abies_grandis,3,48.075
18,corkbark fir,Abies,lasiocarpa,arizonica,NA,Abies_lasiocarpa,ABLAA,gymnosperm,Pinaceae,Abies,Abies_lasiocarpa,3,48.04
19,subalpine fir,Abies,lasiocarpa,NA,NA,Abies_lasiocarpa,ABLA,gymnosperm,Pinaceae,Abies,Abies_lasiocarpa,3,48.215
20,California red fir,Abies,magnifica,NA,NA,Abies_magnifica,ABMA,gymnosperm,Pinaceae,Abies,Abies_magnifica,1,51.51857143
21,Shasta red fir,Abies,shastensis,NA,NA,Abies_shastensis,ABSH,gymnosperm,Pinaceae,Abies,Abies_magnifica_var._shastensis,3,48.04
22,noble fir,Abies,procera,NA,NA,Abies_procera,ABPR,gymnosperm,Pinaceae,Abies,Abies_procera,1,50.75
40,white-cedar spp.,Chamaecyparis,spp.,NA,NA,Chamaecyparis_spp.,CHAMA4,gymnosperm,Cupressaceae,Chamaecyparis,Chamaecyparis_spp.,3,48.005
41,Port-Orford-cedar,Chamaecyparis,lawsoniana,NA,NA,Chamaecyparis_lawsoniana,CHLA,gymnosperm,Cupressaceae,Chamaecyparis,Chamaecyparis_lawsonia,3,47.935
42,Alaska yellow-cedar,Chamaecyparis,nootkatensis,NA,NA,Chamaecyparis_nootkatensis,CHNO,gymnosperm,Cupressaceae,Callitropsis,Callitropsis_nootkatensis,3,47.83
43,Atlantic white-cedar,Chamaecyparis,thyoides,NA,NA,Chamaecyparis_thyoides,CHTH2,gymnosperm,Cupressaceae,Chamaecyparis,Chamaecyparis_thyoides,1,47.50333333
50,cypress,Cupressus,spp.,NA,NA,Cupressus_spp.,CUPRE,gymnosperm,Cupressaceae,Cupressus,Cupressus_spp.,3,47.865
51,Arizona cypress,Cupressus,arizonica,NA,NA,Cupressus_arizonica,CUAR,gymnosperm,Cupressaceae,Cupressus,Cupressus_arizonica,3,47.865
52,Baker or Modoc cypress,Cupressus,bakeri,NA,NA,Cupressus_bakeri,CUBA,gymnosperm,Cupressaceae,Cupressus,Cupressus_bakeri,3,47.865
53,Tecate cypress,Cupressus,forbesii,NA,NA,Cupressus_forbesii,CUFO2,gymnosperm,Cupressaceae,Hesperocyparis,Hesperocyparis_forbesii,3,47.865
54,Monterey cypress,Cupressus,macrocarpa,NA,NA,Cupressus_macrocarpa,CUMA2,gymnosperm,Cupressaceae,Cupressus,Cupressus_macrocarpa,3,47.865
55,Sargent's cypress,Cupressus,sargentii,NA,NA,Cupressus_sargentii,CUSA3,gymnosperm,Cupressaceae,Cupressus,Cupressus_sargentii,3,47.865
56,MacNab's cypress,Cupressus,macnabiana,NA,NA,Cupressus_macnabiana,CUMA,gymnosperm,Cupressaceae,Cupressus,Cupressus_macbia,3,47.865
57,redcedar/juniper spp.,Juniperus,spp.,NA,NA,Juniperus_spp.,JUNIP,gymnosperm,Cupressaceae,Juniperus,Juniperus_spp.,3,47.725
58,Pinchot juniper,Juniperus,pinchotii,NA,NA,Juniperus_pinchotii,JUPI,gymnosperm,Cupressaceae,Juniperus,Juniperus_pinchotii,3,47.725
59,redberry juniper,Juniperus,coahuilensis,NA,NA,Juniperus_coahuilensis,JUCO11,gymnosperm,Cupressaceae,Juniperus,Juniperus_coahuilensis,3,47.725
60,Drooping juniper,Juniperus,flaccida,NA,NA,Juniperus_flaccida,JUFL,gymnosperm,Cupressaceae,Juniperus,Juniperus_flaccida,1,48.10625
61,Ashe juniper,Juniperus,ashei,NA,NA,Juniperus_ashei,JUAS,gymnosperm,Cupressaceae,Juniperus,Juniperus_ashei,3,47.725
