SPCD,DIVISION,STDORGCD,model,a,a1,b,b1,c,c1
10,M240,,1,0.002105266,,1.646091312,,1.244413373,
10,,,1,0.001955587,,1.650546706,,1.256038073,
11,240,,4,0.001314136,,2.037385804,0.014090669,1.156702494,
11,M210,,4,0.001025611,,2.022202393,0.01342096,1.21244134,
11,M240,,4,0.002106226,,1.825077968,0.003283116,1.14481908,
11,,,4,0.002022903,,1.844885667,0.004062689,1.143651072,
12,130,,2,0.004116364,,1.997786965,1.883244117,0.872349268,
12,210,,2,0.002286977,,1.873151281,1.589354736,1.08803123,
12,220,,2,0.003473653,,1.979336137,1.532151317,0.930889614,
12,M210,,2,0.003441041,,2.085508739,1.794777907,0.882612879,
12,,,2,0.003256399,,1.931516072,1.783286999,0.967436664,
15,M260,,1,0.001779048,,1.684069848,,1.25331477,
15,M310,,1,0.005906791,,1.892653872,,0.803067573,
15,M330,,1,0.002324652,,1.709973345,,1.171636864,
15,,,1,0.001814677,,1.617253621,,1.284112391,
16,,,1,0.002401761,,1.890612135,,1.085865387,
17,,,1,0.002506212,,1.612819191,,1.215027357,
18,,,1,0.002401761,,1.817644441,,1.085865387,
19,M130,,2,0.001634352,,1.73257167,1.68330915,1.233341676,
19,M210,,2,0.002100712,,1.675751008,1.746979096,1.199543175,
19,M240,,2,0.001112761,,1.506559646,1.540586029,1.450721623,
19,M330,,2,0.002130275,,1.87086212,1.745591354,1.091486421,
19,,,2,0.002075426,,1.710841252,1.758231751,1.180918784,
20,M260,,1,0.002088051,,1.748667994,,1.171822967,
20,,,1,0.002091937,,1.760055688,,1.164393456,
42,M240,,1,0.004782723,,1.902390808,,0.892831119,
42,,,1,0.004765815,,1.904044761,,0.892448554,
43,230,,2,0.001314921,,1.804774826,1.467690305,1.266282758,
43,,,2,0.001314921,,1.804774826,1.467690305,1.266282758,
68,220,,2,0.003563439,,1.84780681,1.550725595,1.009488024,
68,230,,2,0.00234356,,1.901522463,1.881085501,1.073171229,
68,250,,2,0.00431645,,1.817732753,1.542554839,0.975870253,
68,,,2,0.003655101,,1.877328983,1.724682224,0.979761822,
71,130,,2,0.0029289,,1.884167216,1.83074748,0.996152271,
71,210,,2,0.002363171,,1.740952976,1.661712629,1.138337566,
71,M130,,2,0.00131403,,1.714403851,1.559860863,1.277668518,
71,M210,,2,0.001077559,,1.81085226,1.6324531,1.247804983,
71,M330,,2,0.002466809,,2.057237984,1.747497577,0.935116618,
71,,,2,0.003337275,,2.076380058,1.718831197,0.870308519,
73,,,1,0.003805829,,1.745228173,,1.00454214,
81,M260,,1,0.003602549,,1.647778389,,1.065920541,
81,,,1,0.003602549,,1.647778389,,1.065920541,
90,130,,4,0.002206547,,2.034324492,0.01617144,1.034936034,
90,M130,,4,0.001590526,,1.831495104,0.006044958,1.184669479,
90,M210,,4,0.001292676,,1.901373,0.011681872,1.210613952,
90,M330,,4,0.000692235,,1.924058351,0.013813752,1.343102035,
90,,,4,0.001359241,,1.876480245,0.009562428,1.207913332,
91,210,,2,0.002221498,,1.909883425,1.762413576,1.09898488,
91,,,2,0.002221498,,1.909883425,1.762413576,1.09898488,
93,M130,,4,0.000969821,,2.000275384,0.015967746,1.226887668,
93,M210,,4,0.001719606,,1.824534232,0.003627456,1.168334129,
93,M240,,4,0.001568996,,1.955379242,0.005074652,1.106631833,
93,M330,,4,0.002122802,,1.847377308,0.006760462,1.121644312,
93,M340,,4,0.001550133,,1.768834396,0.00607262,1.256850412,
93,,,4,0.001863819,,1.84729939,0.00326328,1.134537296,
94,130,,4,0.002199397,,1.931048845,0.007812733,1.067838362,
94,210,,4,0.002168351,,1.886029998,0.000139482,1.094006839,
94,220,,4,0.002237806,,2.318239458,0.04927362,0.975157307,
94,M130,,4,0.002803334,,1.804703839,-0.007055569,1.035663195,
94,,,4,0.002275203,,1.974478813,0.010230184,1.042932158,
95,130,,2,0.002562647,,1.968702693,1.894349233,1.004527267,
95,210,,2,0.002317146,,1.862338392,1.893127276,1.088914627,
95,M130,,2,0.003002177,,1.833525183,1.428601355,1.026454355,
