SPCD,DIVISION,STDORGCD,model,a,a1,b,b1,c,c1
12,130,,3,0.000484401,1.657292042,7.89E-05,,0.796510523,-0.037889503
12,210,,3,0.000809508,1.721122112,0.076389862,,1.002938522,0.130774755
12,M210,,3,0.00032021,1.43433668,0.000372581,,0.99979284,-0.060089956
12,,,3,0.001525095,1.63438562,0.214307111,,0.863301423,0.378701398
15,M260,,4,0.004022027,,2.041693377,0.000475399,0.473846647,
15,M310,,4,0.000191947,,2.195708324,0.019478744,1.224481596,
15,M330,,4,0.001232885,,2.875038679,0.02310691,0.285665079,
15,,,4,0.002881567,,2.714926297,0.016576837,0.195054071,
16,,,1,0.001476691,,1.789389151,,0.690095344,
17,,,1,0.007186707,,1.888260674,,0.381699463,
18,,,1,0.001476691,,2.010768137,,0.690095344,
19,M330,,1,0.000712,,1.334613968,,1.218436929,
19,,,1,0.000805726,,1.44946075,,1.120513552,
20,M260,,1,0.001028662,,1.906887195,,0.865838665,
20,,,1,0.001176377,,1.848238959,,0.870784867,
42,M240,,1,0.002273122,,1.783016646,,0.607173928,
42,,,1,0.002273122,,1.783016646,,0.607173928,
43,230,,1,0.000961844,,1.962782009,,0.83033836,
43,,,1,0.000961844,,1.962782009,,0.83033836,
68,220,,1,0.001418328,,1.358242463,,0.707365618,
68,230,,1,0.009570535,,1.548287675,,0.239335951,
68,,,1,0.003173692,,1.245542704,,0.6637845,
71,130,,2,0.001524413,,1.62989658,0.793399215,0.793408748,
71,210,,2,0.006470565,,1.772149325,1.973865728,0.379076063,
71,,,2,0.002345496,,1.668725081,1.556148925,0.675960767,
73,,,1,0.002697391,,2.073979685,,0.588855007,
81,M260,,1,0.006609648,,1.701400168,,0.621195025,
81,,,1,0.006609648,,1.701400168,,0.621195025,
90,,,1,0.002064754,,1.847586886,,0.617888296,
91,210,,1,0.000887314,,1.88878877,,0.798624355,
91,,,1,0.000887314,,1.88878877,,0.798624355,
93,M330,,1,0.001369079,,1.69438534,,0.810859276,
93,M340,,1,0.002324087,,1.698860265,,0.700622413,
93,,,1,0.00166105,,1.749896216,,0.73344746,
94,130,,2,0.002549966,,1.776647563,1.875850454,0.559739502,
94,210,,2,0.000821622,,1.314466337,1.548586152,1.072086058,
94,M130,,2,0.001786126,,1.899457623,1.284780618,0.640971462,
94,,,2,0.002410153,,1.741751243,1.835963391,0.594313279,
95,130,,4,0.002729399,,1.714748538,-0.02520825,0.540685145,
95,210,,4,0.000634198,,1.961404016,0.034110373,0.892483444,
95,M130,,4,0.002525561,,1.544625604,-0.060119511,0.626736301,
95,,,4,0.002109404,,1.610152288,-0.030923511,0.645959656,
97,130,,1,0.006816407,,2.448977047,,-0.026499485,
97,210,,1,0.003103593,,2.119564592,,0.386086337,
97,M210,,1,0.002170589,,1.784474855,,0.659240898,
97,,,1,0.002066275,,1.931784135,,0.587190434,
98,M240,,1,0.001567466,,1.556704969,,0.829144213,
98,,,1,0.001567466,,1.556704969,,0.829144213,
100,130,,1,0.002656071,,1.632033796,,0.620290765,
100,,,1,0.002656071,,1.632033796,,0.620290765,
105,130,,1,0.001481211,,1.764710327,,0.698382566,
105,210,,1,0.002132735,,1.981955273,,0.534274965,
105,220,,1,0.036121769,,2.125293877,,-0.27673538,
105,,,1,0.002221084,,1.92573134,,0.527395651,
107,230,,1,0.001046495,,1.646609539,,0.897787082,
107,,,1,0.001046495,,1.646609539,,0.897787082,
108,130,,1,0.001702752,,1.837988715,,0.575379939,
108,330,,1,0.000556399,,1.585575707,,1.078951208,
108,M130,,1,0.000151875,,1.578749794,,1.40483514,
108,M330,,1,5.45E-05,,1.541032167,,1.607713777,
108,,,1,0.001369651,,1.899586903,,0.609484007,
110,220,,2,0.040726229,,2.605474295,1.807965234,-0.415019821,
110,230,,2,0.007228624,,1.984096038,1.840468279,0.40039502,
110,M220,,2,0.005022124,,1.850376248,1.857715126,0.567472063,
110,M230,,2,0.005171597,,2.366430844,2.055896143,0.254020237,
110,,,2,0.00820158,,1.964502121,1.90890667,0.372681153,
111,230,0,4,0.004307564,,2.013121859,0.01696735,0.586315836,
111,,0,4,0.004273753,,2.0110003,0.01689905,0.58920059,
111,230,1,1,0.002964213,,1.784092618,,0.764628515,
111,,1,1,0.002964213,,1.784092618,,0.764628515,
113,,,1,0.004712262,,1.781480341,,0.50751576,
115,230,,1,0.001060525,,1.855595769,,0.827897194,
115,,,1,0.001022706,,1.859030529,,0.833432597,
116,,,1,0.004712262,,2.033491645,,0.50751576,
117,M260,,1,0.013319871,,1.878440209,,0.307224456,
117,,,1,0.012063844,,1.880200966,,0.326862342,
119,,,1,0.004712262,,1.692715262,,0.50751576,
121,230,,2,0.004177015,,2.088051517,1.737769193,0.489236705,
121,,,2,0.004178544,,2.087760842,1.737894549,0.489278128,
122,310,,1,0.00170945,,1.50462576,,1.077494107,
122,330,,1,0.076333403,,1.882648894,,-0.285840186,
122,M260,,1,0.00488747,,1.718841628,,0.661641642,
122,M310,,1,0.009679711,,1.760631465,,0.493905276,
122,M330,,1,0.001877467,,1.65213619,,0.944980429,
122,M340,,1,0.00255397,,1.948948717,,0.668914063,
122,,,1,0.002455465,,1.760649438,,0.803993557,
123,M220,,1,0.002154621,,1.785235416,,0.760357133,
123,,,1,0.001724638,,1.859828766,,0.76399641,
125,130,,4,0.002420729,,1.298384474,-0.05231367,0.791694246,
125,210,,4,0.001268245,,2.027055891,0.010766132,0.689054958,
125,220,,4,0.015429814,,1.833721876,-0.037580197,0.024596498,
125,,,4,0.001964288,,1.480430411,-0.03842923,0.766622554,
126,M220,,2,0.002189694,,1.739350975,1.843115098,0.83776901,
126,,,2,0.002509253,,1.713978118,1.85847642,0.815423404,
128,230,,2,0.00405058,,1.842515644,1.82284991,0.659650272,
128,,,2,0.00405058,,1.842515644,1.82284991,0.659650272,
129,130,,2,0.000137705,,2.158777681,1.658358683,1.181182254,
129,210,,2,0.000201356,,2.216645401,1.478482243,1.100303531,
129,220,,2,0.041218558,,2.1115625,2.061878863,-0.225406805,
129,230,,2,0.002805216,,2.421971008,1.833468696,0.359830181,
129,M220,,2,0.000732365,,2.055791745,1.744309451,0.867007458,
129,,,2,0.000380933,,2.070937078,1.702419266,0.992867886,
130,,,1,0.004712262,,1.189836327,,0.50751576,
131,220,0,1,0.004110367,,2.915595521,,-0.111516009,
131,230,0,1,0.006552547,,1.935687678,,0.407960682,
131,M230,0,1,3.78E-05,,1.452281284,,1.929277263,
131,,0,1,0.006059748,,1.938552383,,0.424056533,
131,230,1,2,0.008700201,,1.876608714,2.086262249,0.359651659,
131,,1,2,0.008606621,,1.879486956,2.083305718,0.361025758,
132,220,,4,0.001446968,,1.587831446,0.00530712,0.818854033,
132,230,,4,0.009671618,,2.070212324,0.003662216,0.172936833,
132,M220,,4,0.004145321,,2.259375861,0.049513361,0.372254786,
132,,,4,0.004762816,,2.311019839,0.046793148,0.306067847,
202,130,,1,0.001452326,,1.709588148,,0.901029636,
202,240,,1,3.19E-05,,1.21260514,,1.978577264,
202,260,,1,0.002100852,,1.884646261,,0.700654103,
202,340,,1,0.000512146,,1.807078077,,1.036692597,
202,M240,,1,0.001063883,,1.997797852,,0.812133446,
202,M260,,1,0.00179144,,1.667012302,,0.906708904,
202,M310,,1,0.002088204,,2.038610285,,0.695151799,
202,M330,,1,0.009639716,,2.190731601,,0.185960074,
202,,,1,0.003452267,,2.305064228,,0.353845624,
211,260,,1,0.008107942,,1.818720791,,0.54050807,
211,,,1,0.008273056,,1.815304237,,0.539010929,
221,230,,1,0.000525286,,1.966837091,,0.861838987,
221,,,1,0.000525286,,1.966837091,,0.861838987,
222,230,,1,0.007968209,,1.638796978,,0.559610738,
222,,,1,0.007968209,,1.638796978,,0.559610738,
241,210,,1,0.000286358,,1.813407343,,1.088034046,
241,,,1,0.00176953,,1.735356776,,0.697560591,
242,340,,1,4.59E-05,,1.344799294,,1.737342802,
242,M240,,1,0.012466962,,2.31861888,,-0.076016009,
242,,,1,0.010729962,,2.340461713,,-0.06241362,
260,,,1,0.001476691,,1.898116586,,0.690095344,
261,210,,4,0.001146558,,1.97575011,0.006333785,0.7989032,
261,M220,,4,0.001693378,,1.430903834,-0.018954602,0.954160273,
261,,,4,0.001435279,,1.491504325,-0.017978057,0.951102597,
263,340,,1,0.00021709,,1.483734053,,1.341771528,
263,M240,,1,0.013886125,,2.264280071,,-0.013861296,
263,,,1,0.007650815,,2.156146417,,0.184628908,
264,,,1,0.001476691,,2.021932329,,0.690095344,
311,,,1,0.001054267,,2.048804918,,0.706389235,
313,,,1,0.011767409,,1.960394873,,0.132576193,
315,,,1,0.001054267,,2.076244456,,0.706389235,
316,210,,2,0.006430157,,2.259305257,1.723918813,0.122778631,
316,220,,2,0.064536,,2.349323967,2.239462771,-0.583135396,
316,230,,2,0.001324841,,2.088348699,1.479715571,0.624493466,
316,M220,,2,0.000568209,,1.943167982,1.680022557,0.901331324,
316,,,2,0.003743084,,2.226890355,1.685993126,0.275066356,
317,,,1,0.000263031,,1.893791179,,0.970766524,
318,210,,1,0.000553238,,1.88866006,,0.939353068,
318,220,,1,0.001842367,,2.106680855,,0.566968121,
318,M210,,1,0.000100461,,1.94258807,,1.352053658,
318,M220,,1,0.008755995,,1.935730503,,0.200128934,
318,,,1,0.000758475,,2.080827896,,0.767248478,
330,M220,,1,7.51E-05,,1.491876625,,1.683982614,
330,,,1,7.51E-05,,1.491876625,,1.683982614,
351,M240,,2,0.000295075,,1.924666692,2.104661577,1.012856434,
351,,,2,0.000293511,,1.907625331,2.083155477,1.02469019,
370,230,,1,0.009031624,,1.589886773,,0.462805981,
370,M220,,1,0.000534115,,1.799921283,,0.981964106,
370,,,1,0.002035234,,1.699439805,,0.735157037,
371,130,,1,0.001132862,,2.416332053,,0.389459657,
371,210,,1,0.000227212,,1.760966749,,1.230576056,
371,220,,1,0.002722044,,2.213610774,,0.374853937,
371,M210,,1,0.000218312,,2.220891531,,0.960071389,
371,,,1,0.000193188,,1.982769368,,1.130184078,
372,,,1,0.001054267,,2.00970169,,0.706389235,
373,,,1,0.001054267,,1.93472619,,0.706389235,
375,130,,2,0.000129759,,1.907259307,1.562218954,1.285594335,
375,210,,2,0.001960609,,1.963997295,1.822548327,0.587529205,
375,220,,2,0.043725867,,2.111552566,2.324814065,-0.302736762,
375,M210,,2,0.000674499,,2.0481022,1.723945031,0.786162111,
375,,,2,0.000703292,,1.965289855,1.779211671,0.824945635,
391,,,1,0.001744408,,1.741958469,,0.741518961,
400,220,,2,0.002800889,,1.931153532,1.609585238,0.636783249,
400,230,,2,0.002572852,,2.083050155,1.785368808,0.580612523,
400,M220,,2,0.001635907,,2.061766991,1.797197788,0.698537746,
400,M230,,2,0.06628967,,1.789774179,2.020697609,0.022171719,
400,,,2,0.002075239,,2.080086835,1.804009301,0.633915692,
402,,,1,0.002969141,,1.604118423,,0.579604019,
403,,,1,0.002553546,,1.236234878,,0.857985061,
404,230,,1,0.000650851,,1.481149919,,1.229881588,
404,,,1,0.000650851,,1.481149919,,1.229881588,
405,,,1,0.002969141,,1.565349222,,0.579604019,
407,,,1,0.002969141,,1.687370787,,0.579604019,
409,,,1,0.002969141,,1.695920915,,0.579604019,
421,220,,1,0.00629276,,1.94224316,,0.38064225,
421,,,1,0.00629276,,1.94224316,,0.38064225,
460,230,,1,0.000780565,,1.645688697,,0.992305441,
460,,,1,0.000798063,,1.652632389,,0.982665556,
461,230,,1,0.007930569,,2.402916327,,-0.115417943,
461,,,1,0.007930569,,2.402916327,,-0.115417943,
462,,,1,0.001744408,,1.483706438,,0.741518961,
471,,,1,0.001744408,,1.412900316,,0.741518961,
491,230,,1,0.002483526,,1.966987952,,0.596238007,
491,,,1,0.004605796,,2.025073487,,0.381220132,
521,230,,1,0.001023356,,2.003106477,,0.871797891,
521,,,1,0.001156925,,2.014515942,,0.834836349,
531,210,,1,0.002974714,,1.975222913,,0.368240028,
531,220,,1,0.004281864,,1.954632814,,0.292507561,
531,230,,1,0.00050323,,1.729732387,,0.959532916,
531,M210,,1,0.000643915,,1.932605455,,0.746503931,
531,M220,,1,0.004793026,,2.089350605,,0.233334908,
531,,,1,0.002809496,,2.012927857,,0.36486066,
540,230,,2,0.001296507,,1.920326593,1.814721154,0.80887389,
540,M220,,2,0.015844135,,2.018599922,1.950185796,0.177185481,
540,,,2,0.003461621,,1.976359107,1.914732462,0.544331595,
541,210,,1,0.001193857,,1.4611559,,1.069904291,
541,220,,1,0.000431925,,1.588094359,,1.216866689,
541,M210,,1,0.000770948,,1.885114887,,0.959925027,
541,M220,,1,0.000108772,,1.132376435,,1.845663412,
541,,,1,0.000498953,,1.355322827,,1.344908781,
543,,,1,0.000125104,,1.917567783,,1.271805096,
544,230,,1,0.000742742,,1.478640942,,1.160537041,
544,,,1,0.001108655,,1.746760599,,0.87214416,
552,,,1,0.001744408,,1.740699648,,0.741518961,
555,230,,1,0.437114343,,2.339903699,,-0.89296527,
555,,,1,0.437114343,,2.339903699,,-0.89296527,
591,230,,1,0.002213969,,1.909989459,,0.546929876,
591,,,1,0.002213969,,1.909989459,,0.546929876,
601,,,1,0.001744408,,1.963997731,,0.741518961,
602,M220,,1,0.001962088,,1.681245421,,0.910524732,
602,,,1,0.015725237,,1.279127327,,0.627424154,
611,230,,2,0.001753005,,2.00967935,1.632942474,0.686493001,
611,,,2,0.001853256,,1.999978352,1.62847449,0.676412418,
621,220,,2,0.063442028,,2.070430116,2.54714347,-0.318573929,
621,230,,2,0.001111153,,1.822534128,1.690117168,0.916225502,
621,M220,,2,0.001040279,,1.682806018,1.736349231,0.993950769,
621,,,2,0.001168292,,1.73262579,1.693088326,0.940870668,
651,,,1,0.000271268,,1.482267378,,1.349485593,
652,,,1,0.001744408,,1.846403558,,0.741518961,
653,230,,1,0.00304385,,1.825311391,,0.667633282,
653,,,1,0.00304385,,1.825311391,,0.667633282,
680,,,1,0.001744408,,1.800628292,,0.741518961,
691,230,,1,0.001087874,,1.510731565,,1.024431557,
691,,,1,0.001087874,,1.510731565,,1.024431557,
693,220,,1,0.231768149,,2.384102692,,-0.850771734,
693,230,,1,0.002519793,,2.020513458,,0.591277811,
693,M220,,1,0.000707745,,1.994085289,,0.957475018,
693,,,1,0.000972403,,2.109817347,,0.780426687,
694,230,,2,0.001784259,,2.003467276,1.638342467,0.72777884,
694,,,2,0.001784259,,2.003467276,1.638342467,0.72777884,
701,,,1,0.001744408,,1.644047672,,0.741518961,
711,,,1,0.001744408,,1.889227004,,0.741518961,
731,230,,1,0.003911884,,1.896395118,,0.396272117,
731,,,1,0.005700766,,1.755503979,,0.391672516,
740,130,,1,0.005118606,,2.319397498,,0.295301263,
740,M330,,1,0.002153096,,2.11324129,,0.518605695,
740,,,1,0.001516442,,2.515229222,,0.418111236,
741,130,,1,0.000999015,,2.108578245,,0.797497482,
741,210,,1,0.000282157,,1.761812261,,1.22493237,
741,,,1,0.000681989,,2.009738347,,0.927324666,
742,,,1,0.095615974,,1.855688806,,-0.145172597,
743,130,,1,0.001789411,,1.957495189,,0.6603248,
743,210,,1,0.015547636,,1.919919969,,0.127464612,
743,,,1,0.017977295,,1.889814647,,0.116481215,
746,130,,1,0.000760044,,2.156827731,,0.749462678,
746,210,,1,0.002393267,,2.100160067,,0.488837224,
746,220,,1,0.002570712,,1.784207242,,0.647615404,
746,M130,,1,0.003558967,,2.233110622,,0.322153628,
746,M330,,1,0.002592711,,2.179893265,,0.469174748,
746,,,1,0.001185123,,2.163587546,,0.636399076,
762,210,,1,0.000624601,,1.400292505,,1.167591663,
762,230,,1,0.002416124,,2.014847293,,0.525807427,
762,M220,,1,0.045505854,,1.733434843,,0.003948824,
762,,,1,0.004333606,,1.642114774,,0.580065769,
