SPCD,DIVISION,STDORGCD,model,a,b,c
12,130,,1,0.004076385,1.85597092,0.976499195
12,210,,1,0.002929648,1.777407037,1.10366364
12,220,,1,0.007350875,1.779745861,0.873879236
12,M210,,1,0.005168119,1.869162345,0.922849448
12,,,1,0.00393,1.833450273,0.999377145
15,M260,,1,0.003238446,1.742876261,1.121039108
15,M310,,1,0.005670093,1.852201267,0.90723189
15,M330,,1,0.003762857,1.802768228,1.042671335
15,,,1,0.003816645,1.748884303,1.076409772
16,,,1,0.003837271,1.905762299,0.980041425
17,,,1,0.003761915,1.624039338,1.148756001
18,,,1,0.003837271,1.878915762,0.980041425
19,M330,,1,0.003357227,1.668746079,1.129724611
19,,,1,0.003641707,1.696441431,1.094312717
20,M260,,1,0.003038855,1.782004739,1.108842305
20,,,1,0.003100952,1.7807969,1.104888969
42,M240,,1,0.005513347,1.835382645,0.925856834
42,,,1,0.005513347,1.835382645,0.925856834
43,230,,1,0.003222107,1.653666691,1.158846242
43,,,1,0.003256548,1.656155383,1.15493404
68,220,,1,0.004937532,1.593149398,1.074531788
68,230,,1,0.00363494,1.86126097,1.00114025
68,,,1,0.004980396,1.721651576,0.996436628
70,,,1,0.004997497,1.834031942,0.938176723
71,130,,1,0.003358863,1.787509275,1.052787165
71,210,,1,0.002880322,1.750910401,1.112215477
71,,,1,0.003084206,1.769709472,1.084050734
73,,,1,0.004997497,1.847979882,0.938176723
81,M260,,1,0.007521395,1.664277546,0.948263335
81,,,1,0.007521395,1.664277546,0.948263335
90,,,1,0.004335243,1.903974157,0.941614827
91,210,,1,0.003244166,1.80185396,1.086416698
91,,,1,0.002978056,1.769344176,1.12351901
93,M330,,1,0.002254398,1.696208295,1.207411472
93,M340,,1,0.004679847,1.740526319,1.030334166
93,,,1,0.003935346,1.761072134,1.047692535
94,130,,1,0.004486716,1.846489981,0.954718923
94,210,,1,0.002403672,1.792937749,1.143134369
94,M130,,1,0.00391583,1.856687116,0.974442052
94,,,1,0.00432334,1.841593963,0.966154754
95,130,,1,0.004382039,1.894219134,0.937770426
95,210,,1,0.002858997,1.835637798,1.077822799
95,M130,,1,0.004318018,1.811497886,0.980217346
95,,,1,0.004013279,1.88103359,0.966589735
97,130,,1,0.003827701,1.841097081,1.016064033
97,210,,1,0.006461542,1.966920753,0.824827954
97,M210,,1,0.005700696,1.978853496,0.85017712
97,,,1,0.005413127,1.954056459,0.874650456
98,M240,,1,0.00312446,1.794902874,1.081606364
98,,,1,0.00312446,1.794902874,1.081606364
100,130,,1,0.003062065,1.764572538,1.09360376
100,,,1,0.003062065,1.764572538,1.09360376
105,130,,1,0.002931646,1.787951866,1.09588373
105,210,,1,0.003246283,1.845622656,1.037197231
105,220,,1,0.005299658,1.829647098,0.930055007
105,,,1,0.00312225,1.804104541,1.07133276
107,230,,1,0.001811153,1.759072746,1.240004295
107,,,1,0.001811153,1.759072746,1.240004295
108,130,,1,0.003836717,1.795818135,1.033637103
108,330,,1,0.00185291,1.72268749,1.269258526
108,M130,,1,0.005595213,1.91434987,0.882270758
108,M330,,1,0.004330991,1.751312256,1.032784678
108,,,1,0.004473216,1.816660135,0.986646524
