SPCD,DIVISION,STDORGCD,model,alpha,beta
12,130,,6,2.307138235,0.919617774
12,210,,6,2.256494855,0.92910147
12,220,,6,2.385795624,0.933831837
12,M210,,6,2.26869267,0.912654152
12,,,6,2.290293338,0.923304144
15,M260,,6,2.281307537,0.935346692
15,M310,,6,2.258953483,0.880677001
15,M330,,6,2.314050308,0.935771019
15,,,6,2.286492556,0.923976554
16,,,6,2.29784217,0.942559224
17,,,6,2.344739101,0.932565062
18,,,6,2.431042145,0.942559224
19,M330,,6,2.455324416,0.992885249
19,,,6,2.443217781,0.974403518
20,M260,,6,2.258270254,0.903804319
20,,,6,2.260578865,0.904996599
42,M240,,6,2.244140496,0.91368116
42,,,6,2.244140496,0.91368116
43,230,,6,2.10070454,0.84703394
43,,,6,2.104512571,0.84889233
68,220,,6,2.63768714,0.925679299
68,230,,6,2.486450202,0.868528908
68,,,6,2.565420643,0.896177794
70,,,6,2.282279868,0.883333468
71,130,,6,2.311227845,0.870122738
71,210,,6,2.310717293,0.905502951
71,,,6,2.314147205,0.879269621
73,,,6,2.050832678,0.883333468
81,M260,,6,2.50431627,0.902838068
81,,,6,2.50431627,0.902838068
90,,,6,2.319395665,0.924037454
91,210,,6,2.425115333,0.921208492
91,,,6,2.426885312,0.921888259
93,M330,,6,2.316054364,0.918526811
93,M340,,6,2.238474749,0.945736963
93,,,6,2.28588441,0.929353275
94,130,,6,2.233513167,0.889823347
94,210,,6,2.380687159,0.915792218
94,M130,,6,2.277135884,0.93158315
94,,,6,2.247547563,0.892936618
95,130,,6,2.202048385,0.901607246
95,210,,6,2.295419502,0.907234341
95,M130,,6,2.287326781,0.939555565
95,,,6,2.220640877,0.903244639
97,130,,6,2.200532245,0.891695911
97,210,,6,2.119693436,0.929883581
97,M210,,6,2.192381617,0.928607273
97,,,6,2.162471773,0.921406673
98,M240,,6,2.238794895,0.936633343
98,,,6,2.238794895,0.936633343
100,130,,6,2.11019172,0.945742441
100,,,6,2.11019172,0.945742441
105,130,,6,2.191458559,0.923503346
105,210,,6,2.280209058,0.931641135
105,220,,6,2.127630401,0.924409075
105,,,6,2.20485865,0.92473437
107,230,,6,2.164143489,0.917954646
107,,,6,2.164143489,0.917954646
108,130,,6,2.027520611,0.957326183
108,330,,6,2.114226944,0.926405004
108,M130,,6,2.124103578,0.992398763
108,M330,,6,2.204433241,0.996077592
108,,,6,2.069631915,0.960377526
110,220,,6,2.010776058,0.924693381
110,230,,6,2.063275681,0.886018609
110,M220,,6,2.02088945,0.946288783
110,M230,,6,2.052449175,0.944128714
110,,,6,2.048385017,0.897850094
111,230,0,6,2.031462229,0.829936345
111,,0,6,2.031149554,0.829797693
111,230,1,6,2.127100584,0.855742892
111,,1,6,2.127100584,0.855742892
113,,,6,2.277333795,0.903512604
115,230,,6,2.213738291,0.953380675
115,,,6,2.213952901,0.953133233
116,,,6,2.215875645,0.903512604
117,M260,,6,2.338885674,0.912274911
117,,,6,2.342557223,0.913010954
119,,,6,2.252383496,0.903512604
121,230,,6,2.117686248,0.907598819
121,,,6,2.117680703,0.907590354
122,310,,6,2.295808563,0.957389664
122,330,,6,2.191231136,0.938322327
122,340,,6,2.214213634,0.920768443
122,M240,,6,2.218203839,0.886290843
122,M260,,6,2.253795549,0.906255035
122,M310,,6,2.259121712,0.959872267
122,M330,,6,2.212922806,0.938568733
122,M340,,6,2.314560912,1.026064936
122,,,6,2.225646063,0.933592758
123,M220,,6,2.007590011,0.907416892
123,,,6,1.966083129,0.901106431
125,130,,6,2.069177003,0.916687774
125,210,,6,2.077114007,0.93228721
125,220,,6,2.097208195,0.923821225
125,M210,,6,2.210695303,0.914712358
125,,,6,2.078680997,0.92414813
126,M220,,6,2.116533989,0.924391197
126,,,6,2.124881113,0.921727135
128,230,,6,2.053605674,0.882312923
128,,,6,2.053605674,0.882312923
129,130,,6,2.110134399,0.899611189
129,210,,6,2.143824575,0.926956802
129,220,,6,2.168241443,0.928937271
129,230,,6,2.263702307,0.873853394
129,M210,,6,2.325833967,0.938352813
129,M220,,6,2.322484121,0.919936244
129,,,6,2.168405377,0.908425248
130,,,6,2.340985443,0.903512604
131,220,0,6,2.191093432,0.897131272
131,230,0,6,2.120196112,0.870729288
131,M230,0,6,2.229790827,0.935838184
131,,0,6,2.122822028,0.871992951
131,230,1,6,2.250737024,0.895496714
131,,1,6,2.252471647,0.895208838
132,220,,6,2.063242652,0.893255702
132,230,,6,2.071093134,0.876258337
132,M220,,6,2.119827774,0.891856868
132,,,6,2.083913928,0.881605304
202,130,,6,2.243520687,0.905819729
202,240,,6,2.386864289,0.907607416
202,260,,6,2.292462699,0.903012327
202,340,,6,2.200638786,0.899314507
202,M240,,6,2.320767542,0.925394094
202,M260,,6,2.250783654,0.935419648
202,M310,,6,2.3658698,0.90143407
202,M330,,6,2.290748435,0.912358253
202,,,6,2.295591235,0.913185704
211,260,,6,2.355955491,0.904651279
211,,,6,2.358359448,0.905462311
221,230,,6,1.909978071,0.645965351
221,,,6,1.909978071,0.645965351
222,230,,6,1.992238843,0.605750323
222,,,6,1.992238843,0.605750323
241,130,,6,2.378956884,0.815165792
241,210,,6,2.352321217,0.840044116
241,,,6,2.371876652,0.819660562
242,340,,6,2.115533058,0.763122432
242,M240,,6,2.468046048,0.924229453
242,,,6,2.386957496,0.882454213
260,,,6,1.999964492,0.942559224
261,130,,6,2.371677775,0.885184041
261,210,,6,2.40554825,0.93109122
261,220,,6,2.531785323,0.952694421
261,M220,,6,2.463884413,0.918421064
261,,,6,2.423444796,0.912869245
263,340,,6,2.343390395,0.962890453
263,M240,,6,2.313637042,0.957111473
263,,,6,2.320819492,0.958415881
264,,,6,2.30440805,0.942559224
311,,,6,2.633775315,0.914221744
313,,,6,2.518143654,0.939678042
314,,,6,2.473107871,0.895693876
315,,,6,2.491381868,0.914221744
316,210,,6,2.436960588,0.928868547
316,220,,6,2.581816163,0.932380744
316,230,,6,2.498523812,0.83517626
316,M220,,6,2.50939232,0.909544425
316,,,6,2.500241064,0.883741417
317,220,,6,2.641813545,0.906482973
317,,,6,2.664858045,0.895692903
318,210,,6,2.370344508,0.944922218
318,220,,6,2.31121415,0.934426173
318,M210,,6,2.244248992,0.929589658
318,M220,,6,2.620892258,0.918088137
318,,,6,2.363842996,0.938627556
330,M220,,6,2.511665162,0.924935095
330,,,6,2.512570416,0.926378801
351,M240,,6,2.339745746,0.921133403
351,,,6,2.344539648,0.923693747
