SPCD,DIVISION,STDORGCD,model,alpha,beta
10,M240,,6,2.14743139,0.927469238
10,,,6,2.177173346,0.926250955
11,240,,6,2.208273612,0.96971377
11,M210,,6,2.105631042,0.947732032
11,M240,,6,2.103722119,0.922323444
11,,,6,2.113106623,0.929190948
12,130,,6,2.343627918,0.976862366
12,210,,6,2.29345735,0.925981161
12,220,,6,2.339763151,0.880076728
12,M210,,6,2.29314824,0.910626442
12,,,6,2.301593201,0.935973819
15,M260,,6,2.232047279,0.952381922
15,M310,,6,2.221049475,0.897115941
15,M330,,6,2.303576591,0.953014665
15,,,6,2.257776847,0.940621816
16,,,6,2.35215084,0.95785108
17,,,6,2.340424886,0.942975637
18,,,6,2.536137522,0.95785108
19,M130,,6,2.320110973,0.944196195
19,M210,,6,2.269228451,0.943631734
19,M240,,6,2.247188943,0.92633458
19,M330,,6,2.375135737,0.940106387
19,,,6,2.313075442,0.942068064
20,M260,,6,2.276533766,0.92149881
20,,,6,2.278106426,0.922310952
42,M240,,6,2.229238884,0.880788177
42,,,6,2.227740424,0.880185807
43,230,,6,2.1051429,0.838304365
43,,,6,2.1051429,0.838304365
68,220,,6,2.664090513,0.90266829
68,230,,6,2.503447819,0.860696033
68,250,,6,2.657568485,0.894979897
68,,,6,2.60561565,0.888131696
71,130,,6,2.399296827,0.912911902
71,210,,6,2.321172414,0.980909679
71,M130,,6,2.261591117,0.877919875
71,M210,,6,2.172703357,0.893924749
71,M330,,6,2.040409031,0.900461821
71,,,6,2.161944086,0.916408044
73,,,6,1.969567776,0.859797274
81,M260,,6,2.396385909,0.929794576
81,,,6,2.396385909,0.929794576
90,130,,6,2.167576202,0.88990658
90,M130,,6,2.310168685,0.908845642
90,M210,,6,2.213528434,0.880846555
90,M330,,6,2.184862175,0.872213768
90,,,6,2.236686858,0.891060969
91,210,,6,2.44839903,0.922257502
91,,,6,2.44839903,0.922257502
93,M130,,6,2.294715422,0.883226758
93,M210,,6,2.269443402,0.896307612
93,M240,,6,2.160410832,0.834215417
93,M330,,6,2.215442934,0.873904043
93,M340,,6,2.270978223,0.984325745
93,,,6,2.211907761,0.87022325
94,130,,6,2.332421579,0.930316456
94,210,,6,2.394046799,0.910732301
94,220,,6,2.379224423,0.871937001
94,M130,,6,2.394881838,0.94318556
94,,,6,2.341937233,0.926382543
95,130,,6,2.241075582,0.940708427
95,210,,6,2.323819901,0.902376245
95,M130,,6,2.359380529,0.951021215
95,,,6,2.261894503,0.926243141
96,,,6,2.30191907,0.926032281
97,130,,6,2.167631833,0.950795035
97,210,,6,2.154319285,0.933522053
97,M210,,6,2.205940617,0.9321348
97,,,6,2.176706539,0.934178947
98,M240,,6,2.263824756,0.934788716
98,,,6,2.263824756,0.934788716
100,130,,6,2.138393783,0.96738255
100,M210,,6,2.169698486,0.940791478
