SPCD,DIVISION,STDORGCD,model,a,b,b1,c
11,,,1,0.048055045,2.112855427,,0.543316117
12,130,,2,0.027530352,2.165991411,2.242656509,0.639554183
12,210,,2,0.004554801,1.618961857,1.705068319,1.381801534
12,,,2,0.020335672,2.040082238,2.119684476,0.780832477
15,M260,,1,0.000104701,0.869227967,,2.907020845
15,,,1,0.011441127,2.168321806,,0.949708668
16,,,1,0.048055045,2.032598212,,0.543316117
17,,,1,0.048055045,2.125583418,,0.543316117
19,M330,,2,0.022436719,2.00445589,1.742779656,0.775790533
19,,,2,0.020827837,1.84907566,1.899617911,0.863463343
20,,,1,0.048055045,2.259631473,,0.543316117
68,,,1,0.059594973,1.562441301,,0.602911936
71,130,,1,0.048319892,1.560752017,,0.739990007
71,210,,1,0.081220229,1.909673882,,0.419221616
71,,,1,0.074211558,1.729204892,,0.538671194
73,,,1,0.059594973,1.881231523,,0.602911936
90,,,1,0.052650851,1.669699254,,0.671493473
93,,,1,0.058071391,1.433523972,,0.819746866
94,130,,1,0.036605874,1.726868832,,0.744349517
94,210,,1,0.034629031,1.589629422,,0.787146323
94,M130,,1,0.099609876,1.934312453,,0.424070637
94,M210,,1,0.030369934,1.556865877,,0.888769054
94,,,1,0.034795222,1.649734858,,0.810728368
95,130,,1,0.038118181,1.679771775,,0.796496664
95,210,,1,0.05016543,1.592127236,,0.717866724
95,M130,,1,0.079779291,1.803275465,,0.584944341
95,,,1,0.051116053,1.72358547,,0.703195012
97,,,1,0.058014505,1.91780615,,0.547480628
98,M240,,1,0.049553302,1.463704472,,0.759819073
98,,,1,0.049553302,1.463704472,,0.759819073
105,130,,2,0.03706776,1.76533371,1.446274944,0.670566959
105,210,,2,0.058683145,1.448466441,1.824891694,0.720389028
105,,,2,0.048147163,1.6935246,1.543556927,0.642405307
107,230,,1,0.530178789,1.808252468,,-0.016375423
107,,,1,0.530178789,1.808252468,,-0.016375423
108,M130,,1,0.039437496,1.758115853,,0.683384567
108,M210,,1,0.073194929,1.733598811,,0.54749036
108,M330,,1,0.04916401,1.564770043,,0.692947924
108,,,1,0.061204576,1.52979646,,0.683116029
110,230,,1,0.020450554,1.789271239,,0.928946762
110,M230,,1,0.551138099,1.983882846,,0.006365659
110,,,1,0.034039673,1.874929814,,0.754498102
111,230,0,1,0.046930237,0.819023691,,1.393983197
111,,0,1,0.052649522,0.836104011,,1.35741823
111,230,1,4,0.197373655,1.450674694,-0.050385585,0.538874889
111,,1,4,0.197373655,1.450674694,-0.050385585,0.538874889
115,230,,1,0.069590888,1.694923675,,0.618372743
115,,,1,0.069590888,1.694923675,,0.618372743
121,230,,1,0.061210129,1.596483262,,0.817962656
121,,,1,0.061210129,1.596483262,,0.817962656
122,M310,,1,0.077785157,1.675881164,,0.712880315
122,,,1,0.07732639,1.761223104,,0.66295371
123,M220,,1,0.032703997,1.903092443,,0.698871535
123,,,1,0.030322951,1.828656086,,0.751189292
125,130,,2,0.014681172,1.707481851,1.549684489,0.924695694
125,210,,2,0.043657756,1.745977544,1.861107773,0.619728947
125,,,2,0.030527229,1.68789083,1.758110982,0.747370748
126,M220,,1,0.067742191,2.067725566,,0.498583263
126,,,1,0.04600067,1.943277897,,0.661031637
128,230,,1,0.078850422,1.75060765,,0.610216932
128,,,1,0.078850422,1.75060765,,0.610216932
129,210,,2,0.01873811,1.816986181,1.722985549,0.914618822
129,M220,,2,0.027010815,1.530603739,1.815264037,0.953058057
129,,,2,0.027582546,1.698093152,1.784740212,0.879141183
131,230,0,4,0.035614081,1.384818216,-0.034932785,0.887335694
131,,0,4,0.036927899,1.386630276,-0.035296634,0.876614885
