SPCD,DIVISION,STDORGCD,model,a,b,b1,c
11,,,1,1.767896986,2.375511274,,-0.44008936
12,210,,1,2.499595466,2.702376969,,-0.609498392
12,,,1,2.480510019,2.780354376,,-0.655208294
15,M260,,1,0.000319109,0.708305088,,2.652928182
15,,,1,0.153048772,2.054800965,,0.364064058
16,,,1,1.767896986,2.538687396,,-0.44008936
17,,,1,1.767896986,2.579440817,,-0.44008936
19,,,1,3.602922008,3.483213479,,-1.134599534
20,,,1,1.767896986,2.455354719,,-0.44008936
68,,,1,40.63738529,3.208073935,,-1.822117032
71,210,,1,21.64217343,2.998147615,,-1.378684498
71,,,1,89.82141277,2.998440851,,-1.702958595
73,,,1,40.63738529,3.208074019,,-1.822117032
93,M330,,1,3.077431492,2.655568994,,-0.611016386
93,,,1,3.357410195,2.687974266,,-0.653744801
94,210,,1,5.682407325,2.518946065,,-0.736092657
94,,,1,5.938962915,2.517562438,,-0.748338064
95,210,,1,2.190442162,3.261325455,,-0.846370745
95,,,1,2.190442162,3.261325455,,-0.846370745
97,,,1,3.180696903,2.790777214,,-0.722447255
98,,,1,3.180696903,2.790775112,,-0.722447255
105,210,,1,1.335397652,3.179300991,,-0.745237308
105,,,1,1.335397652,3.179300991,,-0.745237308
108,M330,,1,10.27831517,3.467024095,,-1.401401964
108,,,1,13.5811022,3.166978212,,-1.312080923
110,230,,1,0.768432033,3.985480604,,-1.164906102
110,M230,,1,2.40993845,3.670518765,,-1.266797846
110,,,1,0.652240998,3.962110403,,-1.117194052
111,230,0,1,0.858432091,3.748201043,,-1.095286703
111,,0,1,0.858432091,3.748201043,,-1.095286703
111,230,1,1,2.14272707,3.381493445,,-0.971240972
111,,1,1,2.14272707,3.381493445,,-0.971240972
116,,,1,2.177600402,3.270319267,,-0.966812486
121,230,,1,1.377818699,3.612612683,,-1.02431869
121,,,1,1.377818699,3.612612683,,-1.02431869
122,M260,,1,0.310460138,2.948000576,,-0.270055097
122,M310,,1,0.952443009,3.282512866,,-0.821331779
122,M330,,1,1.856855288,2.424659528,,-0.402509507
122,,,1,1.033539089,2.996683362,,-0.628170258
123,,,1,2.177600402,3.375344252,,-0.966812486
125,210,,1,4.893214352,3.24371335,,-1.158985685
125,,,1,4.16426642,3.259358498,,-1.132436577
126,,,1,2.177600402,3.385066034,,-0.966812486
129,210,,1,4.745112692,3.288200186,,-1.189935767
129,M220,,1,34.34567261,3.406583265,,-1.651412383
129,,,1,4.945637294,3.215726191,,-1.128810156
131,230,0,1,0.61214932,3.17447514,,-0.655518923
131,,0,1,0.535768778,3.17327766,,-0.625507896
131,230,1,2,1.797223551,2.57376148,3.243154531,-0.612092191
131,,1,2,1.797223551,2.57376148,3.243154531,-0.612092191
132,M220,,1,5.527036308,2.998114064,,-0.943857532
132,,,1,4.92001951,3.058501806,,-0.94192471
202,240,,1,9.521330809,1.762316117,,-0.405742592
202,M240,,1,6.516255149,2.23536737,,-0.593040429
202,M260,,1,0.843599248,2.649405414,,-0.473312712
202,M330,,1,18.70878641,3.289218661,,-1.474720141
202,,,1,6.308889592,2.279290294,,-0.624651961
211,,,1,40.63738529,3.208073725,,-1.822117032
221,,,1,40.63738529,3.208073741,,-1.822117032
222,230,,1,2.01E-06,2.270462007,,2.638610446
222,,,1,2.01E-06,2.270462007,,2.638610446
241,210,,1,2.807057635,3.270615486,,-1.142255091
241,,,1,2.807057635,3.270615486,,-1.142255091
261,210,,1,0.209520151,2.599997678,,0.030682068
261,M220,,1,2.163238692,2.490148365,,-0.371162316
261,,,1,0.190102207,2.380522491,,0.214711885
263,,,1,21.55054557,2.975974249,,-1.29085747
264,,,1,1.767896986,2.412041062,,-0.44008936
313,230,,1,5.178883875,4.051628802,,-1.508197247
313,,,1,5.178883875,4.051628802,,-1.508197247
316,210,,1,0.018713618,2.61154576,,0.706802784
316,230,,1,0.650481799,3.660192373,,-0.773985538
316,M220,,1,0.013549262,4.30984129,,-0.246339129
316,,,1,0.011144618,3.269520661,,0.421304344
317,,,1,3287.212531,3.842100097,,-2.804812895
318,210,,1,0.114467503,2.323367173,,0.480514905
318,,,1,0.000593508,2.412393595,,1.667537289
370,,,1,2.243999639,3.17203173,,-0.698427914
371,210,,1,0.002455463,2.364872835,,1.34170809
371,,,1,0.006040684,2.371198348,,1.129119601
375,210,,1,21.60137175,3.225808314,,-1.344948117
375,M210,,1,0.292824997,2.808504213,,-0.283122561
375,,,1,53.53641954,3.564350978,,-1.781283042
391,,,1,1.410201356,2.781242551,,-0.314666479
400,210,,1,0.001634244,2.627497151,,1.344829093
400,230,,1,0.010690367,3.319883187,,0.459778969
400,M220,,1,2.129226819,3.686694526,,-0.962395961
400,,,1,0.588387535,3.205600343,,-0.3663898
402,,,1,0.758420484,3.022696028,,-0.257945085
403,,,1,0.758420484,2.822908142,,-0.257945085
460,,,1,1.966990266,3.130869139,,-0.652108323
461,230,,1,0.002476966,2.539060702,,1.2262041
461,,,1,0.002476966,2.539060702,,1.2262041
462,,,1,1.966990266,3.215183441,,-0.652108323
471,,,1,1.966990266,3.187916367,,-0.652108323
491,230,,1,0.039303521,1.832306533,,1.057089845
491,,,1,0.049253822,2.152630259,,0.9154909
521,,,1,1.966990266,2.924323616,,-0.652108323
531,210,,1,0.108326703,2.500877956,,0.379909614
531,,,1,0.006237593,2.742701938,,0.919022185
540,230,,1,1.479473428,2.802762416,,-0.550722765
540,,,1,0.883064342,3.290460186,,-0.617185602
541,210,,1,2.151051371,2.275862814,,-0.230791334
541,,,1,5.714918919,2.356392172,,-0.519470024
543,,,1,1.966990266,2.84946125,,-0.652108323
544,230,,1,0.042383409,2.360442871,,0.507494199
544,,,1,0.046228652,2.284297987,,0.541565848
591,,,1,1.966990266,3.027340372,,-0.652108323
602,,,1,1.966990266,3.153596215,,-0.652108323
611,230,,1,0.103333948,3.167562399,,-0.162651127
611,,,1,0.10403541,3.167263369,,-0.163911362
621,230,,1,0.000635683,3.318521789,,0.844234441
621,M220,,1,23.48007224,3.736573074,,-1.748229761
621,,,1,3.27407423,4.467917367,,-1.771559868
653,,,1,1.966990266,2.804869307,,-0.652108323
691,230,,1,89.16082807,4.007538791,,-2.429335987
691,,,1,89.16082807,4.007538791,,-2.429335987
693,,,1,1.966990266,2.977888434,,-0.652108323
694,230,,1,1.217533923,3.454135011,,-0.961298039
694,,,1,1.217533923,3.454135011,,-0.961298039
711,,,1,1.966990266,2.868612326,,-0.652108323
731,,,1,1.966990266,2.905631737,,-0.652108323
740,230,,1,0.033110007,3.661532544,,-0.226955513
740,,,1,0.280072764,3.597254938,,-0.652023746
741,210,,1,0.369538503,2.95886454,,-0.310082632
741,,,1,0.369538503,2.95886454,,-0.310082632
742,,,1,1.010223097,3.008141414,,-0.589318704
743,210,,1,14.51555219,4.360877771,,-2.000439579
743,,,1,14.51555219,4.360877771,,-2.000439579
746,210,,1,0.862897487,3.171609189,,-0.615515966
746,M330,,1,1.912605524,2.603843413,,-0.540177991
746,,,1,0.120809399,2.851123305,,0.005918399
762,210,,1,0.004782639,2.669533389,,1.005314035
762,,,1,0.198470356,2.710227003,,0.064879296
802,210,,1,0.02015083,2.417295711,,0.851545753
802,220,,1,0.004294937,3.409007669,,0.578652976
802,230,,1,0.036614884,3.162708086,,0.278384905
802,M220,,1,0.003795935,2.337549206,,1.305869513
802,,,1,0.004880537,2.511268248,,1.145892662
806,M220,,1,0.002376907,2.460564251,,1.310671276
806,,,1,0.05840055,2.504821007,,0.579911434
812,,,1,4.171865572,3.577388681,,-1.098866713
813,,,1,0.758420484,2.823799159,,-0.257945085
819,,,1,0.758420484,3.086134542,,-0.257945085
820,,,1,0.758420484,2.798398658,,-0.257945085
822,230,,1,2.548259162,2.96468673,,-0.661938179
822,,,1,2.548259162,2.96468673,,-0.661938179
823,,,1,0.758420484,2.714376632,,-0.257945085
824,,,1,0.758420484,2.953772595,,-0.257945085
827,230,,1,2.132780009,2.726513601,,-0.413598786
827,,,1,2.132780009,2.726513601,,-0.413598786
828,230,,1,0.004867674,3.128305695,,0.638410104
828,,,1,0.004867674,3.128305695,,0.638410104
831,230,,1,0.000631864,2.543286624,,1.443703136
831,,,1,0.000631864,2.543286624,,1.443703136
832,M220,,1,3.280061412,3.312682089,,-0.901822133
832,,,1,2.972562894,3.340347865,,-0.898908125
833,210,,1,0.523539459,2.743873795,,-0.106595112
833,M220,,1,0.588884857,2.882222544,,-0.201587078
833,,,1,0.390519222,2.968861696,,-0.165695923
835,,,1,0.758420484,2.798931928,,-0.257945085
837,,,1,0.979216985,3.534470622,,-0.773528755
840,,,1,0.758420484,2.898556249,,-0.257945085
842,,,1,0.758420484,3.119369413,,-0.257945085
901,,,1,1.966990266,2.932794214,,-0.652108323
920,,,1,1.010223097,3.008140626,,-0.589318704
922,,,1,1.010223097,3.008140294,,-0.589318704
950,210,,1,0.044311803,2.076150262,,0.661917261
950,,,1,0.007909337,2.039703829,,1.086819465
951,,,1,1.966990266,2.871770768,,-0.652108323
970,230,,1,0.074202394,3.90057498,,-0.230521859
970,,,1,0.127117059,3.827908317,,-0.317081918
972,210,,1,6.231186737,2.420015222,,-0.67523185
972,,,1,2.118050713,2.365726312,,-0.361419565
999,,,1,1.966990266,3.000632578,,-0.652108323
