SPCD,DIVISION,STDORGCD,model,a,a1,b,b1,c,c1
11,,,1,0.349568157,,2.036595585,,0.610614134,
12,210,,2,0.328925371,,2.068305047,2.173714588,0.600489623,
12,,,2,0.328136654,,2.068856431,2.178341624,0.600282409,
15,M260,,1,0.014607388,,1.512436368,,1.71211905,
15,,,1,0.073497618,,1.998948783,,1.008150026,
16,,,1,0.349568157,,2.068859342,,0.610614134,
17,,,1,0.349568157,,2.083812739,,0.610614134,
19,,,2,0.443491134,,2.038793267,2.314536598,0.520420476,
20,,,1,0.349568157,,2.070000431,,0.610614134,
68,,,1,0.301398904,,2.034237148,,0.695059531,
71,210,,1,0.664116474,,2.010379452,,0.50920278,
71,,,1,0.882434652,,2.025368218,,0.435750124,
73,,,1,0.301398904,,1.991589532,,0.695059531,
93,M330,,1,0.213931593,,1.67741863,,0.941537364,
93,,,1,0.286625447,,1.737783775,,0.837560422,
94,210,,1,0.039235479,,2.226011879,,1.144335464,
94,,,1,0.21805211,,2.489339298,,0.520617556,
95,210,,1,0.313619663,,2.122370911,,0.62071126,
95,,,1,0.313619663,,2.122370911,,0.62071126,
97,,,1,0.371615725,,2.043904648,,0.646763187,
98,,,1,0.371615725,,1.970403305,,0.646763187,
105,210,,1,0.495643869,,2.109006809,,0.508476798,
105,,,1,0.495643869,,2.109006809,,0.508476798,
108,M330,,1,0.181923396,,2.064633748,,0.783734848,
108,,,1,0.303679972,,2.060661231,,0.658443677,
110,230,,1,0.057622485,,2.148749824,,1.021064662,
110,M230,,1,0.748830041,,2.118508655,,0.435975843,
110,,,1,0.186963564,,2.19009994,,0.725056549,
111,230,0,2,0.177868614,,2.180014222,1.976884888,0.78319536,
111,,0,2,0.177868614,,2.180014222,1.976884888,0.78319536,
111,230,1,3,0.358815475,1.849604207,0.149984321,,0.841295541,0.332484731
111,,1,3,0.358815475,1.849604207,0.149984321,,0.841295541,0.332484731
116,,,1,0.148830682,,2.057563893,,0.810673827,
121,230,,1,0.112404906,,2.075821407,,0.926658282,
121,,,1,0.112404906,,2.075821407,,0.926658282,
122,M260,,1,0.23095964,,2.180139622,,0.636401464,
122,M310,,1,0.231449281,,1.925735742,,0.805486816,
122,M330,,1,0.38869001,,2.095942335,,0.554494316,
122,,,1,0.380820507,,2.118642907,,0.552282327,
123,,,1,0.148830682,,2.151179164,,0.810673827,
125,210,,2,0.163474811,,2.033616764,2.140153969,0.782544189,
125,,,2,0.156724247,,2.014189076,2.123600697,0.805766856,
126,,,1,0.148830682,,2.190447581,,0.810673827,
129,210,,1,0.272341852,,1.978761046,,0.706249069,
129,M220,,1,0.370462954,,2.217732339,,0.489143001,
129,,,1,0.278363855,,2.106451786,,0.623519753,
131,230,0,2,0.045928912,,1.956540143,1.955393942,1.154203033,
131,,0,2,0.0472227,,1.955146233,1.971465942,1.146284919,
131,230,1,2,0.078468409,,1.688933865,2.157576692,1.157707856,
131,,1,2,0.078468409,,1.688933865,2.157576692,1.157707856,
132,M220,,1,0.744572557,,2.21183998,,0.3744599,
132,,,1,0.784128198,,2.287530154,,0.32258062,
202,240,,1,0.135206507,,1.713527048,,1.047613377,
202,M240,,1,0.120040708,,1.71368785,,1.061101895,
202,M260,,1,0.017636841,,1.546946282,,1.607689586,
202,M330,,1,0.142806947,,1.970143963,,0.878880818,
202,,,1,0.174719172,,1.726525291,,0.984599765,
211,,,1,0.301398904,,1.904691556,,0.695059531,
221,,,1,0.301398904,,1.84425738,,0.695059531,
222,230,,1,0.110459157,,1.538421675,,1.171293113,
222,,,1,0.110459157,,1.538421675,,1.171293113,
241,210,,2,0.393287534,,1.920335843,2.030340224,0.560517316,
241,,,2,0.393287534,,1.920335843,2.030340224,0.560517316,
261,210,,2,0.428326758,,1.859288817,2.075952205,0.673695108,
261,M220,,2,0.435207622,,2.125444089,2.041079911,0.547532483,
261,,,2,0.401758567,,1.891153446,2.055171185,0.676829753,
263,,,1,0.116109718,,1.895372365,,0.955815802,
264,,,1,0.349568157,,2.074751581,,0.610614134,
313,230,,1,0.219077829,,2.34655145,,0.566149295,
313,,,1,0.219077829,,2.34655145,,0.566149295,
316,210,,4,0.181426445,,1.710544262,-0.025073986,0.953960978,
316,230,,4,0.480472826,,1.901115542,-0.026261863,0.597190558,
316,M220,,4,1.742544318,,1.672298098,-0.06539757,0.340272222,
316,,,4,0.315730276,,1.853839844,-0.024745685,0.740557379,
317,,,1,4.724200785,,2.266637565,,-0.062750913,
318,210,,1,0.197488976,,1.931805898,,0.92308401,
318,,,1,0.030114004,,1.906921766,,1.385635015,
370,,,1,0.531644989,,2.204051341,,0.517144891,
371,210,,1,0.065196083,,1.90492982,,1.186839134,
371,,,1,0.093272971,,1.90993593,,1.100520353,
375,210,,1,0.921838183,,2.20808746,,0.365204162,
375,M210,,1,0.092749057,,1.907269894,,1.052397971,
375,,,1,0.731333337,,2.201429775,,0.42310958,
391,,,1,0.592401108,,2.28787127,,0.476750767,
400,230,,1,0.154205459,,2.406949282,,0.708207968,
400,M220,,1,0.138758302,,2.116086022,,0.914738151,
