SPCD,DIVISION,STDORGCD,model,a,a1,b,b1,c,c1
12,210,,1,11.53901037,,2.483196826,,-1.09425411,
12,,,1,15.60508474,,2.635317277,,-1.246985021,
15,M260,,1,0.190013873,,1.723532758,,0.358146254,
15,,,1,0.452579708,,1.839181317,,0.090906829,
16,,,1,2.263841231,,2.149913487,,-0.503239821,
17,M330,,1,0.301608041,,2.062927801,,0.170076208,
17,,,1,2.74234963,,1.94948392,,-0.314885494,
19,M330,,1,9.599908709,,2.354961415,,-0.899125554,
19,,,1,3.958526266,,2.354548256,,-0.693801734,
20,,,1,2.263841231,,2.270287198,,-0.503239821,
68,,,1,1.229992968,,1.910038546,,-0.282127412,
71,210,,1,1.867233717,,2.181310435,,-0.715231696,
71,,,1,8.571727725,,2.482300082,,-1.222946645,
73,M330,,1,2.332767688,,2.192831044,,-0.845807879,
73,,,1,1.108074285,,2.110271907,,-0.597411427,
81,,,1,1.229992968,,1.950696127,,-0.282127412,
91,,,1,6.911634727,,2.769861537,,-0.986830404,
93,M330,,1,3.859977303,,2.263740718,,-0.592211804,
93,,,1,2.988093048,,2.245664172,,-0.541530255,
94,210,,1,20.73055978,,2.733935184,,-1.386865267,
94,,,1,6.581820799,,2.691511678,,-1.010198107,
95,130,,1,69.83442847,,2.928142967,,-1.788182001,
95,210,,1,13.48500517,,2.697469919,,-1.257385803,
95,,,1,42.71911596,,2.724977594,,-1.585388571,
97,M220,,1,2.045056851,,1.850051243,,-0.290769147,
97,,,1,2.68595318,,1.943987144,,-0.420476272,
98,,,1,6.911634727,,2.52221171,,-0.986830404,
101,,,1,6.857362437,,2.173509839,,-1.104092287,
105,130,,1,4.886995545,,2.57025865,,-1.015986463,
105,210,,1,38585.58662,,3.911365901,,-4.097306423,
105,,,1,20.78632646,,2.6665349,,-1.487746885,
108,M330,,2,7.89789137,,2.922159816,2.804650741,-1.306961711,
108,,,2,5.449179615,,2.824503257,2.516175388,-1.163243205,
110,230,,1,2.012905135,,2.579140326,,-0.854025042,
110,M230,,1,8.107819809,,2.746458252,,-1.42007222,
110,,,1,2.195307738,,2.814921129,,-1.063846911,
111,230,0,1,6.32040311,,2.828071285,,-1.251061938,
111,,0,1,6.32040311,,2.828071285,,-1.251061938,
111,230,1,4,25.81151023,,2.654632369,-0.037573715,-1.500902066,
111,,1,4,25.81151023,,2.654632369,-0.037573715,-1.500902066,
116,,,1,6.857362437,,2.781426712,,-1.104092287,
119,,,1,6.857362437,,2.563692337,,-1.104092287,
121,230,,1,2.021188493,,2.368590361,,-0.64754339,
121,,,1,2.021188493,,2.368590361,,-0.64754339,
122,M240,,1,1.221980506,,2.58405691,,-0.723256353,
122,M260,,1,1.937929561,,2.395529086,,-0.557391923,
122,M310,,1,0.945500163,,2.775912005,,-0.822849471,
122,M330,,1,0.798561133,,2.385559427,,-0.471429028,
122,,,1,0.96526378,,2.482840715,,-0.560013703,
123,,,1,6.857362437,,2.344041733,,-1.104092287,
125,210,,1,4.35682097,,2.144698775,,-0.746957998,
125,,,1,5.098080304,,2.168002353,,-0.800604545,
126,,,1,6.857362437,,2.437176889,,-1.104092287,
128,,,1,6.857362437,,2.068587016,,-1.104092287,
129,210,,1,2.259383525,,2.058702622,,-0.646815597,
129,M220,,1,23.39439608,,2.707164839,,-1.553003019,
129,,,1,4.565769387,,2.319340078,,-0.965629247,
131,230,0,2,8.337502275,,2.388420508,2.62020608,-1.119388616,
131,,0,2,11.31719123,,2.453122303,2.685927753,-1.229936329,
131,230,1,3,16.29448773,1.985339014,0.148348453,,-0.859129789,0.618339173
131,,1,3,16.29448773,1.985339014,0.148348453,,-0.859129789,0.618339173
132,M220,,1,22.97897449,,2.417410557,,-1.425483752,
132,,,1,19.65267963,,2.312104169,,-1.293378466,
133,340,,1,11.54526228,,1.501359265,,-0.474110468,
133,,,1,10.81071687,,1.493695175,,-0.448522571,
202,240,,2,0.477184596,,2.592670352,1.249237429,-0.325050455,
202,M210,,2,0.976718931,,1.888740044,1.549486061,-0.13226267,
202,M240,,2,19.49495653,,2.719154988,2.29628641,-1.341525208,
202,M260,,2,1.263596955,,2.405107269,2.510805499,-0.622599505,
202,M330,,2,4.885819494,,2.045280169,2.066284359,-0.625377412,
202,,,2,3.292996405,,2.300932815,1.868929883,-0.668257644,
211,260,,1,1.191820107,,1.232984484,,0.149164981,
211,,,1,1.20557822,,1.235502171,,0.14216661,
212,,,1,1.229992968,,1.729529585,,-0.282127412,
221,,,1,1.229992968,,1.111687626,,-0.282127412,
222,,,1,1.229992968,,1.549206328,,-0.282127412,
241,210,,1,0.413877859,,2.255042125,,-0.294566571,
241,,,1,0.413877859,,2.255042125,,-0.294566571,
242,,,1,1.229992968,,2.04848797,,-0.282127412,
261,210,,1,0.447507797,,2.009876657,,-0.163759424,
261,M220,,1,0.10506795,,1.017337574,,0.822402649,
261,,,1,0.394212173,,1.67192051,,0.091153181,
263,,,1,5.117016135,,2.679607477,,-1.067402224,
312,,,1,2.768287113,,1.890950303,,-0.812510843,
313,230,,1,86.63900845,,3.729452689,,-2.395382767,
313,,,1,86.63900845,,3.729452689,,-2.395382767,
316,210,,1,5.20204791,,2.114300246,,-0.975485823,
316,230,,1,0.133774283,,1.945302526,,0.098001632,
316,M220,,1,4.505398953,,2.142167404,,-0.839655067,
316,,,1,0.850316557,,1.99896181,,-0.418446486,
317,,,1,24.8940296,,1.717168898,,-1.080721416,
318,210,,1,0.392154397,,1.749876619,,-0.119781456,
318,,,1,0.162369407,,1.733240679,,0.107905407,
351,240,,1,11.65237317,,2.791100545,,-1.520751946,
351,,,1,2.411251329,,2.44219975,,-0.928159838,
361,,,1,1.36909812,,2.128492124,,-0.706453868,
370,,,1,2.768287113,,2.330264645,,-0.812510843,
371,210,,1,7.592341639,,1.529823396,,-0.790470945,
371,,,1,1.801590291,,1.519332591,,-0.442314932,
372,,,1,2.768287113,,2.275710124,,-0.812510843,
375,210,,1,68.15876567,,3.172276411,,-2.118709411,
375,M210,,1,2.879275885,,2.76698491,,-0.999972536,
375,,,1,3.342942244,,2.62387431,,-1.036863522,
391,,,1,0.101935668,,2.150969016,,0.125610204,
400,210,,1,0.098851774,,2.340936763,,-0.064264695,
400,230,,1,0.00161025,,1.781365467,,1.308047668,
400,,,1,0.108436961,,2.163204824,,0.060563293,
402,,,1,0.383493368,,1.986954351,,-0.131159328,
403,,,1,0.383493368,,2.037133547,,-0.131159328,
431,,,1,1.36909812,,2.298313126,,-0.706453868,
460,,,1,1.36909812,,2.378234855,,-0.706453868,
461,230,,1,0.003623695,,1.576944506,,1.10952199,
461,,,1,0.003623695,,1.576944506,,1.10952199,
462,,,1,1.36909812,,2.287490817,,-0.706453868,
471,,,1,1.36909812,,2.129799744,,-0.706453868,
491,230,,1,0.713461736,,2.263126764,,-0.434861858,
