SPCD,COMMON_NAME,SHARED_COMMON_NAME_IND,GENUS,SPECIES,VARIETY,SUBSPECIES,SCIENTIFIC_NAME,SPECIES_SYMBOL,E_SPGRPCD,W_SPGRPCD,C_SPGRPCD,P_SPGRPCD,MAJOR_SPGRPCD,STOCKING_SPGRPCD,FOREST_TYPE_SPGRPCD,JENKINS_SPGRPCD,JENKINS_SAPLING_ADJUSTMENT,SITETREE,SFTWD_HRDWD,WOODLAND,WOOD_SPGR_GREENVOL_DRYWT,WOOD_SPGR_GREENVOL_DRYWT_CIT,BARK_SPGR_GREENVOL_DRYWT,BARK_SPGR_GREENVOL_DRYWT_CIT,MC_PCT_GREEN_WOOD,MC_PCT_GREEN_WOOD_CIT,MC_PCT_GREEN_BARK,MC_PCT_GREEN_BARK_CIT,BARK_VOL_PCT,BARK_VOL_PCT_CIT,CWD_DECAY_RATIO1,CWD_DECAY_RATIO2,CWD_DECAY_RATIO3,CWD_DECAY_RATIO4,CWD_DECAY_RATIO5,DWM_CARBON_RATIO,CARBON_RATIO_LIVE,DRYWT_TO_GREENWT_CONVERSION,CREATED_DATE,MODIFIED_DATE
6945,Dubautia,Y,Dubautia,x fallax,,,Dubautia x fallax,DUFA2,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.65,,0.65,,,,,,15.32,26.0,,,,,,,0.47,1.76,2021-09-03 22:38:54,2024-09-24 19:42:05
6946,Dubautia,Y,Dubautia,montana,,,Dubautia montana,DUMO2,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.65,,0.65,,,,,,15.32,26.0,,,,,,,0.47,1.76,2021-09-03 22:38:54,
6961,golden dewdrops,N,Duranta,erecta,,,Duranta erecta,DUER,54.0,54.0,54.0,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
6965,Durian,N,Durio,zibethinus,,,Durio zibethinus,DUZI,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84,,H,N,0.48216,,0.48216,,,,,,15.32,26.0,,,,,,,0.476,1.76,2021-09-03 22:38:54,
6966,yellow butterfly palm,N,Dypsis,lutescens,,,Dypsis lutescens,DYLU,54.0,54.0,54.0,53.0,3.0,37.0,227.0,10.0,0.84,,H,Y,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,2.0,2021-09-03 22:38:54,
868,Blackbead ebony,N,Ebenopsis,ebano,,,Ebenopsis ebano,EBEB,42.0,47.0,,,4.0,29.0,122.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.443,1.758473594,2021-09-03 22:38:53,
523,Anacua knockaway,N,Ehretia,anacua,,,Ehretia anacua,EHAN,48.0,48.0,,,3.0,36.0,209.0,10.0,0.84031,,H,Y,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:53,
997,Russian olive,N,Elaeagnus,angustifolia,,,Elaeagnus angustifolia,ELAN,43.0,47.0,,,3.0,37.0,146.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:53,
6973,oil nut palm,N,Elaeis,guineensis,,,Elaeis guineensis,ELGU,53.0,53.0,,53.0,3.0,37.0,147.0,8.0,0.84,,H,N,0.48,,0.48,,,,,,15.32,26.0,,,,,,,0.447,1.76,2021-09-03 22:38:54,
6975,kalia,N,Elaeocarpus,bifidus,,,Elaeocarpus bifidus,ELBI,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.48,,0.48,,,,,,15.32,26.0,,,,,,,0.476,1.76,2021-09-03 22:38:54,
6976,syatak,N,Elaeocarpus,carolinensis,,,Elaeocarpus carolinensis,ELCA20,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.48,26.0,0.48,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.476,1.76,2021-09-03 22:38:54,
6979,sapatua,N,Elaeocarpus,grandis,,,Elaeocarpus grandis,ELGR6,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.48,26.0,0.48,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.476,1.76,2021-09-03 22:38:54,
6980,joga,N,Elaeocarpus,joga,,,Elaeocarpus joga,ELJO,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.48,26.0,0.48,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.476,1.76,2021-09-03 22:38:54,
6992,utuutu,N,Eleocharis,dulcis,,,Eleocharis dulcis,ELDU3,54.0,54.0,,54.0,3.0,37.0,,8.0,0.84,,H,N,0.5,,0.5,,,,,,15.32,26.0,,,,,,,0.476,1.76,2021-09-03 22:38:54,
6996,monkeysoap,N,Enterolobium,cyclocarpum,,,Enterolobium cyclocarpum,ENCY,54.0,54.0,54.0,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.448,1.758473594,2021-09-03 22:38:54,
6994,elaeocarpa,N,Endiandra,elaeocarpa,,,Endiandra elaeocarpa,ENEL,54.0,54.0,,54.0,3.0,37.0,227.0,8.0,0.84,,H,N,0.64575,,0.64575,,,,,,15.32,26.0,,,,,,,0.47,1.76,2021-09-03 22:38:54,
6998,loquat,Y,Eriobotrya,japonica,,,Eriobotrya japonica,ERJA3,54.0,54.0,54.0,54.0,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.444,1.758473594,2021-09-03 22:38:54,
7000,blacktorch,N,Erithalis,fruticosa,,,Erithalis fruticosa,ERFR4,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7004,machete,N,Erythrina,berteriana,,,Erythrina berteriana,ERBE3,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7005,coral erythrina,N,Erythrina,corallodendron,,,Erythrina corallodendron,ERCO22,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
7006,crybabytree,N,Erythrina,crista-galli,,,Erythrina crista-galli,ERCR6,54.0,54.0,54.0,,3.0,37.0,227.0,8.0,0.84031,,H,N,0.52,26.0,0.53,26.0,75.13,26.0,80.49,26.0,15.16,26.0,1.0,0.78,0.45,0.42,0.42,0.491,0.475,1.758473594,2021-09-03 22:38:54,
