site,plot,time,species,dbh,exp_factor
40,2,2001,PSME,11.4,25
40,2,2001,ABCO,13.2,25
40,2,2001,ABCO,23.9,25
40,2,2001,CADE,28.7,25
40,2,2001,PSME,34.5,25
40,2,2001,PSME,35.1,25
40,2,2001,ABCO,36.3,25
40,2,2001,PSME,39.9,25
40,2,2001,ABCO,40.4,25
40,2,2001,ABCO,41.9,25
40,2,2001,ABCO,47.8,25
40,2,2001,ABCO,50,25
40,2,2001,CADE,58.4,25
40,2,2001,CADE,61.7,25
40,2,2001,PSME,63.5,25
40,3,2001,CADE,12.4,25
40,3,2001,ABCO,13.7,25
40,3,2001,PSME,14,25
40,3,2001,PSME,14.5,25
40,3,2001,PSME,14.5,25
40,3,2001,ABCO,16.5,25
40,3,2001,CADE,19.8,25
40,3,2001,PSME,21.1,25
40,3,2001,CADE,28.2,25
40,3,2001,ABCO,48.3,25
40,3,2001,PSME,59.2,25
40,3,2001,CADE,61.2,25
40,3,2001,ABCO,64.5,25
40,3,2001,PILA,74.9,25
40,3,2001,PIPO,82.8,25
40,5,2001,CADE,11.9,25
40,5,2001,CADE,12.7,25
40,5,2001,PSME,13,25
40,5,2001,PSME,15,25
40,5,2001,CADE,16.5,25
40,5,2001,CADE,16.5,25
40,5,2001,ABCO,17.8,25
40,5,2001,CADE,18,25
40,5,2001,PSME,18,25
40,5,2001,ABCO,18.5,25
40,5,2001,CADE,19.8,25
40,5,2001,ABCO,20.1,25
40,5,2001,ABCO,22.1,25
40,5,2001,ABCO,22.4,25
40,5,2001,CADE,24.1,25
40,5,2001,ABCO,33,25
40,5,2001,PSME,34.3,25
40,5,2001,CADE,36.6,25
40,5,2001,ABCO,39.6,25
40,5,2001,CADE,40.4,25
40,5,2001,ABCO,40.9,25
40,5,2001,CADE,41.4,25
40,5,2001,PSME,47.2,25
40,5,2001,CADE,48.5,25
40,5,2001,CADE,51.3,25
40,5,2001,CADE,54.9,25
40,5,2001,ABCO,68.6,25
40,5,2001,PIPO,81.5,25
40,7,2001,PSME,11.9,25
40,7,2001,ABCO,13,25
40,7,2001,UNTR,13,25
40,7,2001,ABCO,13,25
40,7,2001,UNTR,13.2,25
40,7,2001,ABCO,14,25
40,7,2001,UNTR,14.5,25
40,7,2001,UNTR,15.5,25
40,7,2001,ABCO,17.5,25
40,7,2001,ABCO,18.8,25
40,7,2001,ABCO,19.1,25
40,7,2001,PSME,19.6,25
40,7,2001,PSME,20.8,25
40,7,2001,CADE,21.6,25
40,7,2001,ABCO,21.6,25
40,7,2001,PSME,22.6,25
40,7,2001,PSME,25.4,25
40,7,2001,CADE,27.2,25
40,7,2001,CADE,27.7,25
40,7,2001,PSME,31.5,25
40,7,2001,PSME,33.3,25
40,7,2001,PILA,34.3,25
40,7,2001,ABCO,34.5,25
40,7,2001,ABCO,44.7,25
40,7,2001,PSME,49.3,25
40,7,2001,ABCO,77.2,25
60,21,2001,ABCO,11.9,25
60,21,2001,PIPO,13,25
60,21,2001,ABCO,13.5,25
60,21,2001,ABCO,13.7,25
60,21,2001,ABCO,15.2,25
60,21,2001,ABCO,18.3,25
